Time,axis_2_enc_position_resolver_motor,axis_2_actual_position,axis_2_raw_position_resolver_motor,raw_position_2_ext
13694,107.0013427734375,-24.150055708172943,-1753697.0,2659
13797,107.0013427734375,-24.150055708172943,-1753697.0,2659
13896,82.781982421875,-24.150055708172943,-1753697.0,2659
13995,82.781982421875,-24.150055708172943,-1753697.0,2659
14096,82.781982421875,-24.150055708172943,-1753697.0,2659
14195,82.781982421875,-24.150055708172943,-1753697.0,2659
14312,82.781982421875,-24.150055708172943,-1753697.0,2659
14394,82.781982421875,-28.151354967408242,-1753697.0,2659
14494,82.781982421875,-28.151354967408242,-1753697.0,2659
14597,82.781982421875,-28.151354967408242,-1753697.0,2659
14695,332.2705078125,-28.151354967408242,-2042992.0,2659
14795,332.2705078125,-28.151354967408242,-2042992.0,2659
14894,332.2705078125,-28.151354967408242,-2042992.0,2659
14997,332.2705078125,-28.151354967408242,-2042992.0,2659
15097,332.2705078125,-28.151354967408242,-2042992.0,2659
15196,332.2705078125,-28.151354967408242,-2042992.0,2659
15297,332.2705078125,-28.151354967408242,-2042992.0,2659
15395,332.2705078125,-32.45679368505634,-2042992.0,2508
15495,332.2705078125,-32.45679368505634,-2042992.0,2508
15596,15.8148193359375,-32.45679368505634,-2361839.0,2508
15698,15.8148193359375,-32.45679368505634,-2361839.0,2508
15796,15.8148193359375,-32.45679368505634,-2361839.0,2508
15894,15.8148193359375,-32.45679368505634,-2361839.0,2508
15998,15.8148193359375,-32.45679368505634,-2361839.0,2508
16095,15.8148193359375,-36.72242624879343,-2361839.0,2508
16201,15.8148193359375,-36.72242624879343,-2361839.0,2508
16297,15.8148193359375,-36.72242624879343,-2652339.0,2508
16395,15.8148193359375,-36.72242624879343,-2652339.0,2508
16499,15.8148193359375,-36.72242624879343,-2652339.0,2508
16594,290.2203369140625,-36.72242624879343,-2652339.0,2508
16696,290.2203369140625,-36.72242624879343,-2652339.0,2508
16797,290.2203369140625,-36.72242624879343,-2652339.0,2508
16895,290.2203369140625,-36.72242624879343,-2652339.0,2508
16995,290.2203369140625,-36.72242624879343,-2652339.0,2508
17093,290.2203369140625,-41.1565961375061,-2652339.0,2508
17195,290.2203369140625,-41.1565961375061,-2652339.0,2508
17295,290.2203369140625,-41.1565961375061,-2978140.0,2508
17396,290.2203369140625,-41.1565961375061,-2978140.0,2508
17496,235.2996826171875,-41.1565961375061,-2978140.0,2358
17596,235.2996826171875,-41.1565961375061,-2978140.0,2358
17696,235.2996826171875,-41.1565961375061,-2978140.0,2358
17795,235.2996826171875,-41.1565961375061,-2978140.0,2358
17895,235.2996826171875,-41.1565961375061,-2978140.0,2358
17997,235.2996826171875,-45.626795990065474,-2978140.0,2358
18096,235.2996826171875,-45.626795990065474,-2978140.0,2358
18197,235.2996826171875,-45.626795990065474,-2978140.0,2358
18295,235.2996826171875,-45.626795990065474,-3284897.0,2358
18396,235.2996826171875,-45.626795990065474,-3284897.0,2358
18495,71.1529541015625,-45.626795990065474,-3284897.0,2358
18598,71.1529541015625,-45.626795990065474,-3284897.0,2358
18696,71.1529541015625,-45.626795990065474,-3284897.0,2358
18799,71.1529541015625,-45.626795990065474,-3284897.0,2358
18897,71.1529541015625,-45.626795990065474,-3284897.0,2358
19001,71.1529541015625,-49.50287054043878,-3284897.0,2358
19102,71.1529541015625,-49.50287054043878,-3284897.0,2358
19197,71.1529541015625,-49.50287054043878,-3284897.0,2358
19293,276.83349609375,-49.50287054043878,-3547067.0,2358
19395,276.83349609375,-49.50287054043878,-3547067.0,2358
19496,276.83349609375,-49.50287054043878,-3547067.0,2206
19602,276.83349609375,-49.50287054043878,-3547067.0,2206
19697,276.83349609375,-49.50287054043878,-3547067.0,2206
19798,276.83349609375,-49.50287054043878,-3547067.0,2206
19897,276.83349609375,-49.50287054043878,-3547067.0,2206
19994,276.83349609375,-53.955438708562525,-3547067.0,2206
20097,276.83349609375,-53.955438708562525,-3547067.0,2206
20195,15.1116943359375,-53.955438708562525,-3864267.0,2206
20301,15.1116943359375,-53.955438708562525,-3864267.0,2206
20396,15.1116943359375,-53.955438708562525,-3864267.0,2206
20493,15.1116943359375,-53.955438708562525,-3864267.0,2206
20596,15.1116943359375,-53.955438708562525,-3864267.0,2206
20695,15.1116943359375,-57.85638500702859,-3864267.0,2206
20799,15.1116943359375,-57.85638500702859,-3864267.0,2206
20896,15.1116943359375,-57.85638500702859,-3864267.0,2206
20994,15.1116943359375,-57.85638500702859,-4128202.0,2206
21096,15.1116943359375,-57.85638500702859,-4128202.0,2206
21195,281.173095703125,-57.85638500702859,-4128202.0,2206
21296,281.173095703125,-57.85638500702859,-4128202.0,2206
21396,281.173095703125,-57.85638500702859,-4128202.0,2050
21494,281.173095703125,-57.85638500702859,-4128202.0,2050
21596,281.173095703125,-57.85638500702859,-4128202.0,2050
21696,281.173095703125,-62.06484946028079,-4128202.0,2050
21795,281.173095703125,-62.06484946028079,-4128202.0,2050
21897,281.173095703125,-62.06484946028079,-4439796.0,2050
21996,281.173095703125,-62.06484946028079,-4439796.0,2050
22096,110.4180908203125,-62.06484946028079,-4439796.0,2050
22194,110.4180908203125,-62.06484946028079,-4439796.0,2050
22297,110.4180908203125,-62.06484946028079,-4439796.0,2050
22394,110.4180908203125,-62.06484946028079,-4439796.0,2050
22496,110.4180908203125,-62.06484946028079,-4439796.0,2050
22598,110.4180908203125,-66.39237747018478,-4439796.0,2050
22696,110.4180908203125,-66.39237747018478,-4439796.0,2050
22795,110.4180908203125,-66.39237747018478,-4439796.0,2050
22894,246.02783203125,-66.39237747018478,-4749573.0,2050
22996,246.02783203125,-66.39237747018478,-4749573.0,2050
23093,246.02783203125,-66.39237747018478,-4749573.0,2050
23197,246.02783203125,-66.39237747018478,-4749573.0,2050
23296,246.02783203125,-66.39237747018478,-4749573.0,1894
23394,246.02783203125,-66.39237747018478,-4749573.0,1894
23497,246.02783203125,-66.39237747018478,-4749573.0,1894
23595,246.02783203125,-70.60508658820852,-5031161.0,1894
23695,246.02783203125,-70.60508658820852,-5031161.0,1894
23795,200.1434326171875,-70.60508658820852,-5031161.0,1894
23896,200.1434326171875,-70.60508658820852,-5031161.0,1894
23995,200.1434326171875,-70.60508658820852,-5031161.0,1894
24095,200.1434326171875,-70.60508658820852,-5031161.0,1894
24198,200.1434326171875,-70.60508658820852,-5031161.0,1894
24294,200.1434326171875,-74.8170007188503,-5031161.0,1894
24397,200.1434326171875,-74.8170007188503,-5031161.0,1894
24495,200.1434326171875,-74.8170007188503,-5333556.0,1894
24601,200.1434326171875,-74.8170007188503,-5333556.0,1894
24696,259.82666015625,-74.8170007188503,-5333556.0,1894
24827,259.82666015625,-74.8170007188503,-5333556.0,1894
24898,259.82666015625,-74.8170007188503,-5333556.0,1894
24995,259.82666015625,-74.8170007188503,-5333556.0,1894
25095,259.82666015625,-74.8170007188503,-5333556.0,1894
25193,259.82666015625,-79.03005054575202,-5333556.0,1736
25297,259.82666015625,-79.03005054575202,-5333556.0,1736
25397,259.82666015625,-79.03005054575202,-5333556.0,1736
25495,259.82666015625,-79.03005054575202,-5621608.0,1736
25596,259.82666015625,-79.03005054575202,-5621608.0,1736
25696,138.01025390625,-79.03005054575202,-5621608.0,1736
25799,138.01025390625,-79.03005054575202,-5621608.0,1736
25898,138.01025390625,-79.03005054575202,-5621608.0,1736
25995,138.01025390625,-79.03005054575202,-5621608.0,1736
26102,138.01025390625,-79.03005054575202,-5621608.0,1736
26198,138.01025390625,-82.78236259619801,-5888206.0,1736
26297,138.01025390625,-82.78236259619801,-5888206.0,1736
26394,24.1424560546875,-82.78236259619801,-5888206.0,1736
26501,24.1424560546875,-82.78236259619801,-5888206.0,1736
26601,24.1424560546875,-82.78236259619801,-5888206.0,1736
26695,24.1424560546875,-82.78236259619801,-5888206.0,1736
26797,24.1424560546875,-82.78236259619801,-5888206.0,1736
26894,24.1424560546875,-82.78236259619801,-5888206.0,1736
26998,24.1424560546875,-82.78236259619801,-5888206.0,1736
27097,24.1424560546875,-87.08365602249732,-5888206.0,1572
27196,24.1424560546875,-87.08365602249732,-5888206.0,1572
27297,24.1424560546875,-87.08365602249732,-5888206.0,1572
27396,108.050537109375,-87.08365602249732,-6217186.0,1572
27497,108.050537109375,-87.08365602249732,-6217186.0,1572
27594,108.050537109375,-87.08365602249732,-6217186.0,1572
27700,108.050537109375,-87.08365602249732,-6217186.0,1572
27796,108.050537109375,-87.08365602249732,-6217186.0,1572
27895,108.050537109375,-87.08365602249732,-6217186.0,1572
28004,108.050537109375,-87.08365602249732,-6217186.0,1572
28100,108.050537109375,-91.63877756289395,-6515110.0,1572
28195,108.050537109375,-91.63877756289395,-6515110.0,1572
28297,242.51220703125,-91.63877756289395,-6515110.0,1572
28397,242.51220703125,-91.63877756289395,-6515110.0,1572
28497,242.51220703125,-91.63877756289395,-6515110.0,1572
