Time,axis_3_raw_position_resolver_motor,axis_3_actual_position,raw_position_3_ext
30917,-4051283.0,-47.49097188525395,1189
31018,-4051283.0,-47.49097188525395,1189
31118,-4051283.0,-47.49097188525395,1189
31216,-4188844.0,-47.49097188525395,1189
31317,-4188844.0,-47.49097188525395,1189
31417,-4188844.0,-47.49097188525395,1189
31517,-4188844.0,-47.49097188525395,1189
31617,-4188844.0,-48.82125543451059,1189
31717,-4188844.0,-48.82125543451059,1189
31817,-4299454.0,-48.82125543451059,1189
31918,-4299454.0,-48.82125543451059,1189
32017,-4299454.0,-48.82125543451059,1189
32117,-4299454.0,-48.82125543451059,1189
32217,-4299454.0,-48.82125543451059,1189
32317,-4299454.0,-50.08168041592024,1189
32418,-4299454.0,-50.08168041592024,1189
32517,-4409322.0,-50.08168041592024,1189
32617,-4409322.0,-50.08168041592024,1189
32719,-4409322.0,-50.08168041592024,1189
32816,-4409322.0,-50.08168041592024,1086
32917,-4409322.0,-50.08168041592024,1086
33017,-4409322.0,-50.08168041592024,1086
33117,-4409322.0,-50.08168041592024,1086
33217,-4542978.0,-51.514775118838536,1086
33317,-4542978.0,-51.514775118838536,1086
33417,-4542978.0,-51.514775118838536,1086
33518,-4542978.0,-51.514775118838536,1086
33617,-4542978.0,-51.514775118838536,1086
33717,-4542978.0,-51.514775118838536,1086
33817,-4542978.0,-51.514775118838536,1086
33918,-4657756.0,-52.960804054469094,1086
34016,-4657756.0,-52.960804054469094,1086
34118,-4657756.0,-52.960804054469094,1086
34217,-4657756.0,-52.960804054469094,1086
34318,-4657756.0,-52.960804054469094,1086
34418,-4657756.0,-52.960804054469094,1086
34517,-4657756.0,-52.960804054469094,1086
34616,-4762960.0,-54.09711981704424,1086
34717,-4762960.0,-54.09711981704424,1086
34816,-4762960.0,-54.09711981704424,979
34918,-4762960.0,-54.09711981704424,979
35017,-4762960.0,-54.09711981704424,979
35116,-4762960.0,-54.09711981704424,979
35217,-4762960.0,-54.09711981704424,979
35317,-4879791.0,-55.42792896232983,979
35419,-4879791.0,-55.42792896232983,979
35518,-4879791.0,-55.42792896232983,979
35618,-4879791.0,-55.42792896232983,979
35716,-4879791.0,-55.42792896232983,979
35817,-4879791.0,-55.42792896232983,979
35918,-4879791.0,-55.42792896232983,979
36017,-4879791.0,-56.889017366789695,979
36117,-4879791.0,-56.889017366789695,979
36217,-5001932.0,-56.889017366789695,979
36318,-5001932.0,-56.889017366789695,979
36418,-5001932.0,-56.889017366789695,979
36517,-5001932.0,-56.889017366789695,979
36616,-5108618.0,-58.07090001987413,879
36718,-5108618.0,-58.07090001987413,879
36817,-5108618.0,-58.07090001987413,879
36916,-5108618.0,-58.07090001987413,879
37019,-5108618.0,-58.07090001987413,879
37117,-5108618.0,-58.07090001987413,879
37217,-5108618.0,-58.07090001987413,879
37317,-5108618.0,-59.472253293044474,879
37419,-5108618.0,-59.472253293044474,879
37517,-5235568.0,-59.472253293044474,879
37617,-5235568.0,-59.472253293044474,879
37718,-5235568.0,-59.472253293044474,879
37816,-5235568.0,-59.472253293044474,879
37918,-5235568.0,-59.472253293044474,879
38017,-5235568.0,-59.472253293044474,879
38121,-5235568.0,-59.472253293044474,879
38217,-5367293.0,-61.00732505157849,879
38317,-5367293.0,-61.00732505157849,879
38417,-5367293.0,-61.00732505157849,879
38516,-5367293.0,-61.00732505157849,775
38617,-5367293.0,-61.00732505157849,775
38717,-5367293.0,-61.00732505157849,775
38819,-5367293.0,-61.00732505157849,775
38921,-5367293.0,-61.00732505157849,775
39018,-5476921.0,-62.29416694644287,775
39118,-5476921.0,-62.29416694644287,775
39218,-5476921.0,-62.29416694644287,775
39317,-5476921.0,-62.29416694644287,775
39417,-5476921.0,-62.29416694644287,775
39517,-5476921.0,-62.29416694644287,775
39617,-5597619.0,-63.663515991850794,775
39718,-5597619.0,-63.663515991850794,775
39817,-5597619.0,-63.663515991850794,775
39916,-5597619.0,-63.663515991850794,775
40017,-5597619.0,-63.663515991850794,775
40116,-5597619.0,-63.663515991850794,775
40217,-5597619.0,-63.663515991850794,775
40316,-5597619.0,-65.07786062773656,775
40419,-5597619.0,-65.07786062773656,775
40517,-5597619.0,-65.07786062773656,775
40617,-5728844.0,-65.07786062773656,678
40717,-5728844.0,-65.07786062773656,678
