Time,axis_1_actual_position,axis_1_raw_position_resolver_motor,raw_position_1_ext
89110,195.59917812841616,13686469.0,1167
89210,195.59917812841616,13807761.0,1167
89311,195.59917812841616,13807761.0,1167
89410,195.59917812841616,13807761.0,1214
89510,195.59917812841616,13807761.0,1214
89609,197.1322687059168,13807761.0,1214
89713,197.1322687059168,13807761.0,1214
89811,197.1322687059168,13807761.0,1214
89910,197.1322687059168,13913821.0,1214
90011,197.1322687059168,13913821.0,1214
90109,197.1322687059168,13913821.0,1214
90210,197.1322687059168,13913821.0,1214
90310,197.1322687059168,13913821.0,1214
90410,198.70905519701876,13913821.0,1214
90510,198.70905519701876,13913821.0,1214
90609,198.70905519701876,14019669.0,1214
90710,198.70905519701876,14019669.0,1214
90810,198.70905519701876,14019669.0,1214
90910,198.70905519701876,14019669.0,1214
91010,200.5088782373703,14019669.0,1214
91111,200.5088782373703,14019669.0,1214
91210,200.5088782373703,14019669.0,1214
91310,200.5088782373703,14150067.0,1261
91411,200.5088782373703,14150067.0,1261
91509,200.5088782373703,14150067.0,1261
91610,200.5088782373703,14150067.0,1261
91709,200.5088782373703,14150067.0,1261
91810,201.92074743532527,14150067.0,1261
91909,201.92074743532527,14150067.0,1261
92009,201.92074743532527,14259779.0,1261
92110,201.92074743532527,14259779.0,1261
92210,201.92074743532527,14259779.0,1261
92308,201.92074743532527,14259779.0,1261
92411,201.92074743532527,14259779.0,1261
92509,203.6179461223877,14259779.0,1261
92610,203.6179461223877,14259779.0,1261
92710,203.6179461223877,14259779.0,1261
92810,203.6179461223877,14367776.0,1261
92911,203.6179461223877,14367776.0,1261
93010,203.6179461223877,14367776.0,1261
93111,203.6179461223877,14367776.0,1261
93210,205.16970470716117,14485085.0,1309
93310,205.16970470716117,14485085.0,1309
93410,205.16970470716117,14485085.0,1309
93511,205.16970470716117,14485085.0,1309
93610,205.16970470716117,14485085.0,1309
93710,206.67049892226967,14485085.0,1309
93812,206.67049892226967,14485085.0,1309
93910,206.67049892226967,14583108.0,1309
94009,206.67049892226967,14583108.0,1309
94110,206.67049892226967,14583108.0,1309
94210,206.67049892226967,14583108.0,1309
94310,206.67049892226967,14583108.0,1309
94409,208.0644809041305,14583108.0,1309
94511,208.0644809041305,14583108.0,1309
94613,208.0644809041305,14583108.0,1309
94710,208.0644809041305,14687626.0,1309
94810,208.0644809041305,14687626.0,1309
94911,208.0644809041305,14687626.0,1309
95011,208.0644809041305,14687626.0,1309
95110,209.7845922632373,14687626.0,1356
